"","Solar","Eolica","Prevision_solar","Prevision_Viento","Carga_prevision","Carga_real","Precio_prevision","Precio_real"
"9103",23,6715,3,6714,26965,26975,33.4,40.79
"9104",23,6969,6,6924,31380,31392,42.69,48.71
"9105",25,7408,34,7303,34470,34356,47.52,56.18
"9106",132,8096,289,7993,35270,35177,48,56.29
"9107",632,8604,693,8601,35864,35768,48,57.58
"9108",1286,9136,1123,9138,36054,35939,46.95,56.64
"9109",1577,10106,1574,10006,35870,35631,44,52.32
"9110",1877,11204,1864,10872,35628,35401,42.05,49.5
"9111",1960,11944,1970,11826,34375,34082,39.99,47.58
"9112",1971,12360,1848,12220,33710,33308,37.65,45.65
"9113",1845,11700,1378,12086,33441,33078,38,45.53
"9114",975,10883,663,10974,33829,33189,43,50.83
"9115",242,10515,174,10428,35488,34985,48.04,59.56
"9116",77,9891,66,10080,36329,36107,49.98,60.52
"9117",71,9558,49,9704,36091,35951,46,56.69
"9118",61,9405,28,9535,35335,35364,42.7,53.08
"9119",61,9256,6,9304,33146,33193,42.1,49.73
"9120",49,9157,23,9186,30471,30665,40.5,48.49
"9121",26,9291,23,9250,28241,28539,32.1,38.96
"9122",23,9380,28,9293,26164,26495,29.31,36.24
"9123",14,9603,16,9581,24628,24938,24.02,30.5
"9124",15,9379,10,9497,23822,24058,23.2,30.42
"9125",25,8946,6,9186,23419,23633,19,26.36
"9126",14,8723,5,8663,23364,23500,19,26.14
"9127",13,8667,4,8540,24074,24176,20,27.66
"9128",14,8591,4,8577,25657,25631,25,33.97
"9129",48,8500,87,8433,27333,27257,33.27,41.58
"9130",883,8087,731,8261,29783,29776,38.75,44.99
"9131",2194,7777,1919,7915,31704,31998,40.35,46.67
"9132",3370,7846,2779,7868,32236,32180,39,44.88
"9133",3980,8043,3580,8076,31665,31510,37.06,42.88
"9134",3994,8029,4029,8121,31834,31406,36.06,42.07
"9135",3960,7612,4053,7784,31105,30663,33.32,40.1
"9136",3813,7207,3152,7302,29775,29402,32.1,39.01
"9137",3222,6680,2307,6805,29053,28726,34.1,40.84
"9138",1757,6126,1255,6256,29183,28691,39.77,46.84
"9139",466,5770,606,5656,31330,30848,49.5,58.72
"9140",104,5747,200,5690,32897,32436,52.56,61.37
"9141",47,5818,98,5902,33474,32998,50.54,59.06
"9142",35,5703,2,5754,33164,32956,49.98,56.81
"9143",36,5747,6,5793,31549,31734,45.1,51.08
"9144",35,5636,6,5619,29374,29453,40.06,46.49
"9145",26,5914,0,5691,27105,27057,37.86,45.93
"9146",26,6228,0,6060,25014,24791,34.6,43.76
"9147",26,6534,0,6423,23323,23259,32.12,41.34
"9148",26,6437,0,6423,22341,22417,29.01,39.17
"9149",26,6164,0,6281,21953,21960,24.37,34.37
"9150",26,5959,0,5819,21925,21919,24.36,34.29
"9151",26,6288,1,6218,22437,22384,27.64,37.09
"9152",27,5948,0,6023,23360,23181,29.99,40.23
"9153",54,5590,68,5560,24062,23900,32.4,41.56
"9154",614,5162,519,5295,25923,25833,34.56,44
"9155",1512,4695,1243,4696,28234,28313,37.06,45.49
"9156",2069,4230,1955,4235,29126,29409,38.1,45.07
"9157",2294,4048,2325,4187,28981,29344,38.56,45.17
"9158",2213,4049,2194,3950,29398,29632,38.56,45.95
"9159",1867,4313,2053,4195,29225,29630,38.56,45.14
"9160",1496,4211,1597,4219,27928,28555,36.27,43.91
"9161",968,4103,938,4131,27249,27787,34.56,41.89
"9162",266,4073,326,4090,27411,27845,39.49,46.71
"9163",44,4287,32,4223,29569,30332,47.84,55.51
"9164",37,4727,0,4623,31213,32083,51.81,60.19
"9165",37,5604,9,5331,32250,33266,51.19,59.27
"9166",31,6187,10,6240,32581,33461,50.51,58.2
"9167",32,6771,8,6629,31688,32212,46.01,51.79
"9168",30,7312,5,7155,29272,29475,38.79,45.36
"9169",21,7687,1,7570,26662,26586,38.14,46.74
"9170",19,7899,2,7790,24542,24656,35.66,45.5
"9171",18,7946,0,8110,23226,23420,31.1,40.49
"9172",18,8384,1,8256,22670,22859,25,33.16
"9173",18,9034,0,8882,22635,22742,23.51,31.18
"9174",18,9561,0,9549,23387,23866,23.97,31.1
"9175",18,9907,0,9830,26446,27094,29.1,38.11
"9176",23,10311,0,10160,31280,32027,40,47.67
"9177",43,10797,55,10691,34435,35569,49.98,57.93
"9178",497,10161,464,10543,35502,36437,50.54,58.88
"9179",1229,9674,1054,9753,36609,37178,50.5,60.5
"9180",1820,10157,1652,9919,36533,37019,49.18,59.29
"9181",2041,11009,2067,10713,36222,36716,44.42,54.25
"9182",2088,11824,2196,11689,36023,36399,44.42,53.13
"9183",1936,11945,2020,12042,34968,35096,40.5,48.83
"9184",1667,11647,1704,11768,34239,34498,40,47.89
"9185",1307,11382,1207,11438,34017,34437,40.5,47.86
"9186",601,10860,604,10873,34130,34665,45.01,52.8
"9187",138,10089,151,10196,35607,36335,54.18,66.12
"9188",29,9655,36,9614,36895,37564,58,69.89
"9189",29,9386,21,9348,37075,37724,55.14,66.55
"9190",22,9029,10,9222,36539,36751,51.8,59.8
"9191",24,8368,10,8561,34292,33951,49.98,56.92
"9192",21,7899,10,7921,30967,30623,46.75,53.83
"9193",22,7437,0,7628,28336,27958,39.8,46.07
"9194",22,7122,0,7502,26275,25831,36.79,43.17
"9195",22,6890,0,7341,25215,24589,35.87,41.79
"9196",22,6445,1,7152,24597,24185,32,38.29
"9197",22,6244,3,7008,24328,24103,31.83,37.34
"9198",22,5745,3,6836,25164,24736,38.88,44.63
